nome,preco,unidade,unidade_original,taco_codigo,taco_nome,similaridade,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,gorduras_trans,fibra,sodio
ARROZ PARBOLIZADO,8.79,KG,Kilo,3,"Arroz, tipo 1, cozido",0.5115,128.25848566666664,28.059849999999994,2.5208166666666667,0.22699999999999998,0.0,0,2.2533333333333334,1.2006666666666665
ASPARGO 250g,67.6,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ATUM DRENADO (SEMPRE EM ÓLEO) 120g,52.9,KG,Kilo,278,"Atum, fresco, cru",0.4213,117.50099999999998,0.0,25.68,0.87,47.8,0,32.22666666666667,30.30333333333333
AVEIA DECASCADA,10.5,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
AVEIA EM FLOCOS FINOS Nº 3,9.0,KG,Kilo,7,"Aveia, flocos, crua",0.5421,393.82268944927546,66.63564057971016,13.921026086956523,8.496666666666666,0.0,0,118.76233333333333,4.626666666666667
AZEITE DE OLIVA 500ml,55.99999999999999,KG,Kilo,260,"Azeite, de oliva, extra virgem",0.7903,884.0,0.0,0.0,100.0,0.0,0,0.0,0.0
AZEITE DE DENDE 100ml,124.89999999999999,KG,Kilo,259,"Azeite, de dendê",1.0,884.0,0.0,0.0,100.0,0.0,0,0.0,0.0
AZEITONA COM CAROÇO,35.0,KG,Kilo,520,"Azeitona, preta, conserva",0.4408,194.1538470209837,5.544500000000004,1.1625,20.345,0.0,0,4.762,1566.661
Bacon Saudavel 1Kg,29.9,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
BANANA VERDE NANICA 200g,9.99,KG,Kilo,179,"Banana, nanica, crua",0.6014,91.52884782608696,23.848115942028986,1.3985507246376814,0.11666666666666665,0.0,0,27.796666666666663,0.0
BANDEJA MICROONDAS 500ML G-306 GALVONETEK CX C/100UNDS,81.55,KG,Pacote,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
BANHA SUINA 500G,32.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
BATATA ASTERIX 330g,5.699999999999999,KG,Kilo,94,"Batata, inglesa, sauté",0.4485,67.88793615063032,14.093000000000005,1.2916666666666667,0.8963333333333333,0.0,0,6.456333333333333,8.182
BATATA DOCÊ ORGANICA 500g,4.99,KG,Kilo,89,"Batata, doce, crua",0.7993,118.24137536231882,28.19608695652174,1.257246376811594,0.13333333333333333,0.0,0,16.893333333333334,8.773333333333333
BATATA INGLESA,9.99,KG,Kilo,92,"Batata, inglesa, crua",0.8067,64.3702260869565,14.688260869565212,1.7717391304347823,0.0,0.0,0,14.58,0.0
BATATA ROSA DOCÊ 515g,8.0,KG,Kilo,89,"Batata, doce, crua",0.5938,118.24137536231882,28.19608695652174,1.257246376811594,0.13333333333333333,0.0,0,16.893333333333334,8.773333333333333
BERINJELA 381g,11.899999999999999,KG,Kilo,96,"Berinjela, crua",0.6622,19.62775362318839,4.428985507246369,1.221014492753623,0.1,0.0,0,12.913333333333332,0.0
